"region","Code_iso3","country_name","city","measure_year","measure_pm25_μg_m3","measure_PM10_μg_m3","measure_NO2_μg_m3","PM25_temporal_coverage","PM10_temporal_coverage","NO2_temporal_coverage","source","number","type","database_version","status","id"
"European Region","BGR","Bulgaria","Blagoevgrad",2017,NA,38.3,19.35,NA,NA,91.76940639,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,1
"European Region","BGR","Bulgaria","Blagoevgrad",2019,NA,29.96,17.81,NA,NA,94.32648402,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,2
"European Region","BGR","Bulgaria","Burgas",2017,NA,29.86,15.54,NA,NA,94.73744292,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,3
"European Region","BGR","Bulgaria","Burgas",2018,NA,30.28,12.94,NA,NA,93.77853881,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,4
"European Region","BGR","Bulgaria","Burgas",2019,NA,26.24,14.3,NA,NA,91.84360731,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,5
"European Region","BGR","Bulgaria","Dimitrovgrad",2017,NA,34.69,8.75,NA,NA,97.97945205,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,6
"European Region","BGR","Bulgaria","Dimitrovgrad",2018,NA,NA,15.02,NA,NA,99.32648402,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,7
"European Region","BGR","Bulgaria","Dimitrovgrad",2019,NA,28.75,16.97,NA,NA,99.22374429,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,8
"European Region","BGR","Bulgaria","Galabovo",2017,NA,25.29,5.88,NA,NA,95.43378995,"European Environment Agency (downloaded in 2021)",1,"Industrial",2022,NA,9
"European Region","BGR","Bulgaria","Galabovo",2018,NA,22.66,11.79,NA,NA,82.10045662,"European Environment Agency (downloaded in 2021)",1,"Industrial",2022,NA,10
"European Region","BGR","Bulgaria","Galabovo",2019,NA,20.83,6.34,NA,NA,91.82648402,"European Environment Agency (downloaded in 2021)",1,"Industrial",2022,NA,11
"European Region","BGR","Bulgaria","Pernik",2017,NA,33.4,16.86,NA,NA,95.74200913,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,12
"European Region","BGR","Bulgaria","Pernik",2018,30.75,34.82,14.56,NA,NA,89.87442922,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,13
"European Region","BGR","Bulgaria","Pernik",2019,NA,31.14,16.36,NA,NA,90.86757991,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,14
"European Region","BGR","Bulgaria","Pleven",2017,NA,43.53,25.01,NA,NA,94.97716895,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,15
"European Region","BGR","Bulgaria","Pleven",2018,NA,42.79,23.07,NA,NA,99.6803653,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,16
"European Region","BGR","Bulgaria","Pleven",2019,NA,36.33,16.58,NA,NA,97.9109589,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,17
"European Region","BGR","Bulgaria","Plovdiv",2017,27.32,48.47,35.21,NA,NA,93.99543379,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,18
"European Region","BGR","Bulgaria","Plovdiv",2018,19.17,42.57,28.6,NA,NA,93.62442923,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,19
"European Region","BGR","Bulgaria","Plovdiv",2019,19.04,37.96,33.51,NA,NA,94.70319635,"European Environment Agency (downloaded in 2021)",1,"Urban",2022,NA,20
"European Region","BGR","Bulgaria","Sofia",2017,26.58,36.24,27.43,NA,NA,97.42579909,"European Environment Agency (downloaded in 2021)",1,"Suburban",2022,NA,27
"European Region","BGR","Bulgaria","Sofia",2018,NA,33.29,24.43,NA,NA,94.67808219,"European Environment Agency (downloaded in 2021)",1,"Suburban",2022,NA,28
"European Region","BGR","Bulgaria","Sofia",2019,8.9,27.78,23.87,NA,NA,95.41476408,"European Environment Agency (downloaded in 2021)",1,"Suburban",2022,NA,29
"European Region","BGR","Bulgaria","Stara Zagora",2017,19.31,24.64,19.53,NA,NA,95.12557078,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,30
"European Region","BGR","Bulgaria","Stara Zagora",2018,21.28,22.24,15.91,NA,NA,94.87442922,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,31
"European Region","BGR","Bulgaria","Stara Zagora",2019,20.93,20.94,14.87,NA,NA,95.47945205,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,32
"European Region","BGR","Bulgaria","Varna",2017,11.92,25.73,15.39,NA,NA,98.55022831,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,33
"European Region","BGR","Bulgaria","Varna",2018,15.94,26.95,24.28,NA,NA,91.10730594,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,34
"European Region","BGR","Bulgaria","Varna",2019,18.55,27.44,27.57,NA,NA,89.55479452,"European Environment Agency (downloaded in 2021)",2,"Urban",2022,NA,35
"European Region","CHE","Switzerland","Aarau",2018,11.5,14.8,23.8,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,36
"European Region","CHE","Switzerland","Aarau",2019,9.8,13.2,22.2,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,37
"European Region","CHE","Switzerland","Aigle",2017,NA,14.9,25,NA,NA,NA,"BAFU",1,"Industrial",2022,NA,38
"European Region","CHE","Switzerland","Aigle",2018,NA,14.8,20.9,NA,NA,NA,"BAFU",1,"Industrial",2022,NA,39
"European Region","CHE","Switzerland","Aigle",2019,8.3,13,20.1,NA,NA,NA,"BAFU",1,"Industrial",2022,NA,40
"European Region","CHE","Switzerland","Airolo",2017,NA,9,19,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,41
"European Region","CHE","Switzerland","Airolo",2018,6,9,19,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,42
"European Region","CHE","Switzerland","Airolo",2019,5.6,8.9,17.6,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,43
"European Region","CHE","Switzerland","Altdorf",2017,NA,12.8,20.5,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,44
"European Region","CHE","Switzerland","Altdorf",2018,NA,13.6,19.5,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,45
"European Region","CHE","Switzerland","Altdorf",2019,NA,11.9,18,NA,NA,NA,"BAFU",1,"Traffic",2022,NA,46
"European Region","CHE","Switzerland","Avully",2017,NA,13.91,12.62,NA,NA,98.71004566,"BAFU, European Environment Agency (downloaded in 2021)",1,"Background",2022,NA,47
"European Region","CHE","Switzerland","Avully",2018,NA,14.58,11,NA,NA,99.15525114,"BAFU, European Environment Agency (downloaded in 2021)",1,"Background",2022,NA,48
