"region","Code_iso3","country_name","city","measure_year","measure_pm25_μg_m3","measure_PM10_μg_m3","measure_NO2_μg_m3","PM25_temporal_coverage","PM10_temporal_coverage","NO2_temporal_coverage","source","monitoring_station_number","database_version","status"
"European Region","CHE","Switzerland","Aadorf",2016,NA,11.45,11.91,NA,NA,99.66985428,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Aadorf",2017,NA,11.32,11.3,NA,NA,99.50913242,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Aadorf",2018,NA,13.03,11.98,NA,NA,98.72146119,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Aadorf",2019,NA,10.93,11.11,NA,NA,99.56621005,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Aarau",2018,11.5,14.8,23.8,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Aarau",2019,9.8,13.2,22.2,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Aarau",2020,8.9,12.4,18.6,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Aigle",2017,NA,14.9,25,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Aigle",2018,NA,14.8,20.9,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Aigle",2019,8.3,13,20.1,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Aigle",2020,7.8,12.3,17.7,NA,NA,NA,"BAFU","1 Industrial",2022,NA
"European Region","CHE","Switzerland","Airolo",2017,NA,9,19,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Airolo",2018,6,9,19,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Airolo",2019,5.6,8.9,17.6,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Airolo",2020,5.4,8.8,15,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Altdorf",2016,NA,11.5,21.3,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Altdorf",2017,NA,12.8,20.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Altdorf",2018,NA,13.6,19.5,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Altdorf",2019,NA,11.9,18,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Altdorf",2020,NA,12.6,16.6,NA,NA,NA,"BAFU","1 Traffic",2022,NA
"European Region","CHE","Switzerland","Avully",2016,NA,14.1,12.91,NA,NA,99.87477231,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Avully",2016,NA,14.1,12.91,NA,NA,99.87477231,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Avully",2017,NA,13.91,12.62,NA,NA,98.71004566,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Avully",2017,NA,13.91,12.62,NA,NA,98.71004566,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Avully",2018,NA,14.58,11,NA,NA,99.15525114,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Avully",2018,NA,14.58,11,NA,NA,99.15525114,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Avully",2019,NA,13.8,10.81,NA,NA,99.7716895,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Avully",2019,NA,13.8,10.81,NA,NA,99.7716895,"BAFU, European Environment Agency (downloaded in 2021)","1 Background",2022,NA
"European Region","CHE","Switzerland","Avully",2020,8.6,13,8.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Baden",2016,NA,15.5,21.8,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Baden",2017,10.9,13.4,22.2,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Baden",2018,12.2,15.3,19.9,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Baden",2019,11.4,15.1,20.3,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Baden",2020,10,13.3,17.5,NA,NA,NA,"BAFU","1 Background",2022,NA
"European Region","CHE","Switzerland","Basel",2016,10.1,17.21,31.86,NA,NA,99.98861566,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Basel",2016,10.1,17.21,31.86,NA,NA,99.98861566,"BAFU, European Environment Agency (downloaded in 2021)","2 Background, 1 Traffic",2022,NA
"European Region","CHE","Switzerland","Basel",2017,11.47,16.69,32.28,NA,NA,98.73858448,"BAFU, European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","CHE","Switzerland","Basel",2017,11.47,16.69,32.28,NA,NA,98.73858448,"BAFU, European Environment Agency (downloaded in 2021)","2 Background, 1 Traffic",2022,NA
