"region","code_iso3","country_name","city","measure_year","measure_pm25_ug_m3","measure_pm10_ug_m3","measure_no2_ug_m3","pm25_temporal_coverage","pm10_temporal_coverage","no2_temporal_coverage","source","monitoring_station_number","database_version","status"
"European Region","AND","Andorra","Escaldes-Engordany",2017,NA,26.3,28.74,NA,NA,95.10273973,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AND","Andorra","Escaldes-Engordany",2018,NA,23.2,26.55,NA,NA,93.39041096,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AND","Andorra","Escaldes-Engordany",2019,NA,24.58,31.01,NA,NA,92.1803653,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Amstetten",2017,NA,18.87,21.11,NA,NA,95.46803653,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Amstetten",2018,NA,21.22,20.52,NA,NA,95.14840183,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Amstetten",2019,NA,17.43,18.87,NA,NA,95.53652968,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bad Vöslau",2017,NA,16.47,11.71,NA,NA,95.50228311,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bad Vöslau",2018,NA,19.1,13.34,NA,NA,95.53652968,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bad Vöslau",2019,NA,13.72,10,NA,NA,95.58219178,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Biedermannsdorf",2017,NA,19.69,26.25,NA,NA,94.38356164,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Biedermannsdorf",2018,NA,22.8,23.35,NA,NA,95.51369863,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Biedermannsdorf",2019,NA,16.53,21.15,NA,NA,95.59360731,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bludenz",2017,NA,13.76,22.27,NA,NA,95.46803653,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bratislava",2017,NA,21.78,14.32,NA,NA,94.15525114,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bratislava",2018,NA,25.25,14.24,NA,NA,95.44520548,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bratislava",2019,NA,19.35,12.2,NA,NA,95.73059361,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Braunau Am Inn",2018,13.27,17.83,18.89,NA,NA,93.80136986,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Braunau Am Inn",2019,12.48,17.83,17.68,NA,NA,93.74429224,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bruck An Der Mur",2017,NA,18.96,18.5,NA,NA,95.65068493,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bruck An Der Mur",2018,NA,17.75,16.26,NA,NA,95.60502283,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Bruck An Der Mur",2019,NA,15.29,14.86,NA,NA,95.63926941,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Burgfried",2017,12.72,17.18,40.19,NA,NA,95.61643836,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Burgfried",2018,13.03,17.55,36.9,NA,NA,95.57077626,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Burgfried",2019,10.68,15.11,36,NA,NA,95.68493151,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Deutschlandsberg",2017,NA,18.31,13.97,NA,NA,91.87214612,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Deutschlandsberg",2018,NA,18.21,13.22,NA,NA,93.78995434,"European Environment Agency (downloaded in 2021)",NA,2022,NA
"European Region","AUT","Austria","Deutschlandsberg",2019,NA,16.03,11.71,NA,NA,95.54794521,"European Environment Agency (downloaded in 2021)",NA,2022,NA
